community_area,active_count,new_count,closures_count,nightlife_share,regulated_share,year,population,active_businesses_per_1k,new_licenses_per_1k,closures_per_1k,Pct_Housing_Crowded,Pct_Below_Poverty,Pct_Unemployed,Pct_Without_HS_Diploma,Per_Capita_Income,Hardship_Index
70,1,1,,0.0,0.0,2022,,,,,,,,,,
1,99,99,,0.020202020202020204,0.0,2023,,,,,,,,,,
10,118,118,,0.059322033898305086,0.00847457627118644,2023,,,,,,,,,,
11,119,119,,0.058823529411764705,0.0,2023,,,,,,,,,,
12,48,48,,0.020833333333333332,0.0,2023,,,,,,,,,,
13,63,63,,0.0,0.0,2023,,,,,,,,,,
14,281,281,,0.010676156583629894,0.0,2023,,,,,,,,,,
15,347,347,,0.037463976945244955,0.005763688760806916,2023,,,,,,,,,,
16,269,269,,0.040892193308550186,0.0,2023,,,,,,,,,,
17,219,219,,0.0593607305936073,0.0,2023,,,,,,,,,,
18,34,34,,0.0,0.0,2023,,,,,,,,,,
19,233,233,,0.012875536480686695,0.0,2023,,,,,,,,,,
2,227,227,,0.02643171806167401,0.0,2023,,,,,,,,,,
20,66,66,,0.0,0.0,2023,,,,,,,,,,
21,132,132,,0.045454545454545456,0.007575757575757576,2023,,,,,,,,,,
22,545,545,,0.06422018348623854,0.005504587155963303,2023,,,,,,,,,,
23,265,265,,0.01509433962264151,0.0,2023,,,,,,,,,,
24,454,454,,0.02643171806167401,0.004405286343612335,2023,,,,,,,,,,
25,239,239,,0.0,0.0,2023,,,,,,,,,,
26,43,43,,0.0,0.0,2023,,,,,,,,,,
27,45,45,,0.044444444444444446,0.044444444444444446,2023,,,,,,,,,,
28,507,507,,0.027613412228796843,0.021696252465483234,2023,,,,,,,,,,
29,68,68,,0.0,0.0,2023,,,,,,,,,,
3,297,297,,0.04713804713804714,0.0,2023,,,,,,,,,,
30,160,160,,0.0,0.0,2023,,,,,,,,,,
31,353,353,,0.0226628895184136,0.0056657223796034,2023,,,,,,,,,,
32,478,478,,0.016736401673640166,0.014644351464435146,2023,,,,,,,,,,
33,107,107,,0.037383177570093455,0.009345794392523364,2023,,,,,,,,,,
34,75,75,,0.0,0.0,2023,,,,,,,,,,
35,40,40,,0.0,0.0,2023,,,,,,,,,,
36,9,9,,0.0,0.0,2023,,,,,,,,,,
37,25,25,,0.04,0.0,2023,,,,,,,,,,
38,56,56,,0.0,0.0,2023,,,,,,,,,,
39,18,18,,0.0,0.0,2023,,,,,,,,,,
4,309,309,,0.05825242718446602,0.0,2023,,,,,,,,,,
40,23,23,,0.043478260869565216,0.0,2023,,,,,,,,,,
41,114,114,,0.03508771929824561,0.017543859649122806,2023,,,,,,,,,,
42,88,88,,0.0,0.0,2023,,,,,,,,,,
43,70,70,,0.0,0.0,2023,,,,,,,,,,
44,75,75,,0.0,0.0,2023,,,,,,,,,,
45,20,20,,0.0,0.0,2023,,,,,,,,,,
46,48,48,,0.0,0.0,2023,,,,,,,,,,
47,3,3,,0.0,0.0,2023,,,,,,,,,,
48,22,22,,0.0,0.0,2023,,,,,,,,,,
49,103,103,,0.0,0.0,2023,,,,,,,,,,
5,118,118,,0.01694915254237288,0.00847457627118644,2023,,,,,,,,,,
50,35,35,,0.0,0.0,2023,,,,,,,,,,
51,49,49,,0.0,0.0,2023,,,,,,,,,,
52,29,29,,0.0,0.0,2023,,,,,,,,,,
53,72,72,,0.013888888888888888,0.0,2023,,,,,,,,,,
54,7,7,,0.0,0.0,2023,,,,,,,,,,
55,29,29,,0.13793103448275862,0.0,2023,,,,,,,,,,
56,131,131,,0.05343511450381679,0.007633587786259542,2023,,,,,,,,,,
57,55,55,,0.0,0.0,2023,,,,,,,,,,
58,101,101,,0.009900990099009901,0.0,2023,,,,,,,,,,
59,70,70,,0.0,0.0,2023,,,,,,,,,,
6,334,334,,0.02694610778443114,0.008982035928143712,2023,,,,,,,,,,
60,149,149,,0.03355704697986577,0.006711409395973154,2023,,,,,,,,,,
61,299,299,,0.010033444816053512,0.0,2023,,,,,,,,,,
62,47,47,,0.0,0.0,2023,,,,,,,,,,
63,92,92,,0.0,0.0,2023,,,,,,,,,,
64,89,89,,0.033707865168539325,0.0,2023,,,,,,,,,,
65,156,156,,0.019230769230769232,0.0,2023,,,,,,,,,,
66,151,151,,0.026490066225165563,0.0,2023,,,,,,,,,,
67,40,40,,0.0,0.0,2023,,,,,,,,,,
68,31,31,,0.0,0.0,2023,,,,,,,,,,
69,76,76,,0.02631578947368421,0.0,2023,,,,,,,,,,
7,221,221,,0.02262443438914027,0.01809954751131222,2023,,,,,,,,,,
70,135,134,,0.014814814814814815,0.0,2023,,,,,,,,,,
71,71,71,,0.0,0.0,2023,,,,,,,,,,
72,107,107,,0.04672897196261682,0.0,2023,,,,,,,,,,
73,58,58,,0.017241379310344827,0.0,2023,,,,,,,,,,
74,26,26,,0.038461538461538464,0.0,2023,,,,,,,,,,
75,92,92,,0.05434782608695652,0.0,2023,,,,,,,,,,
76,128,128,,0.0078125,0.0078125,2023,,,,,,,,,,
77,305,305,,0.04918032786885246,0.0,2023,,,,,,,,,,
8,690,690,,0.04057971014492753,0.015942028985507246,2023,,,,,,,,,,
9,21,21,,0.0,0.0,2023,,,,,,,,,,
1,484,385,,0.04338842975206612,0.06198347107438017,2024,,,,,,,,,,
10,348,230,,0.04597701149425287,0.028735632183908046,2024,,,,,,,,,,
11,277,158,,0.036101083032490974,0.039711191335740074,2024,,,,,,,,,,
12,170,122,,0.0058823529411764705,0.029411764705882353,2024,,,,,,,,,,
13,193,130,,0.0,0.02072538860103627,2024,,,,,,,,,,
14,598,317,,0.010033444816053512,0.051839464882943144,2024,,,,,,,,,,
15,711,364,,0.02390998593530239,0.035161744022503515,2024,,,,,,,,,,
16,669,400,,0.0343796711509716,0.03736920777279522,2024,,,,,,,,,,
17,411,192,,0.0364963503649635,0.0413625304136253,2024,,,,,,,,,,
18,118,84,,0.025423728813559324,0.0,2024,,,,,,,,,,
19,744,511,,0.01747311827956989,0.02956989247311828,2024,,,,,,,,,,
2,582,355,,0.013745704467353952,0.044673539518900345,2024,,,,,,,,,,
20,223,157,,0.008968609865470852,0.04035874439461883,2024,,,,,,,,,,
21,516,384,,0.03875968992248062,0.044573643410852716,2024,,,,,,,,,,
22,1208,663,,0.04552980132450331,0.027317880794701987,2024,,,,,,,,,,
23,617,352,,0.009724473257698542,0.03403565640194489,2024,,,,,,,,,,
24,1748,1294,,0.04233409610983982,0.031464530892448515,2024,,,,,,,,,,
25,692,453,,0.002890173410404624,0.05346820809248555,2024,,,,,,,,,,
26,209,166,,0.009569377990430622,0.08133971291866028,2024,,,,,,,,,,
27,176,131,,0.03409090909090909,0.0625,2024,,,,,,,,,,
28,1988,1481,,0.02766599597585513,0.03118712273641851,2024,,,,,,,,,,
29,272,204,,0.003676470588235294,0.05514705882352941,2024,,,,,,,,,,
3,639,342,,0.03129890453834116,0.03286384976525822,2024,,,,,,,,,,
30,776,616,,0.014175257731958763,0.037371134020618556,2024,,,,,,,,,,
31,852,499,,0.017605633802816902,0.02112676056338028,2024,,,,,,,,,,
32,2679,2201,,0.01866368047779022,0.025009331840238895,2024,,,,,,,,,,
33,418,311,,0.03827751196172249,0.03588516746411483,2024,,,,,,,,,,
34,327,252,,0.012232415902140673,0.0061162079510703364,2024,,,,,,,,,,
35,144,104,,0.013888888888888888,0.013888888888888888,2024,,,,,,,,,,
36,16,7,,0.0,0.0,2024,,,,,,,,,,
37,65,40,,0.015384615384615385,0.046153846153846156,2024,,,,,,,,,,
38,207,151,,0.004830917874396135,0.028985507246376812,2024,,,,,,,,,,
39,77,59,,0.0,0.0,2024,,,,,,,,,,
4,596,287,,0.03859060402684564,0.025167785234899327,2024,,,,,,,,,,
40,67,44,,0.05970149253731343,0.08955223880597014,2024,,,,,,,,,,
41,328,214,,0.027439024390243903,0.021341463414634148,2024,,,,,,,,,,
42,186,98,,0.005376344086021506,0.06989247311827956,2024,,,,,,,,,,
43,297,227,,0.0,0.06734006734006734,2024,,,,,,,,,,
44,315,240,,0.012698412698412698,0.03492063492063492,2024,,,,,,,,,,
45,106,86,,0.009433962264150943,0.07547169811320754,2024,,,,,,,,,,
46,204,156,,0.00980392156862745,0.049019607843137254,2024,,,,,,,,,,
47,18,15,,0.05555555555555555,0.0,2024,,,,,,,,,,
48,109,87,,0.01834862385321101,0.027522935779816515,2024,,,,,,,,,,
49,233,130,,0.0,0.07296137339055794,2024,,,,,,,,,,
5,569,451,,0.04569420035149385,0.0210896309314587,2024,,,,,,,,,,
50,80,45,,0.0,0.05,2024,,,,,,,,,,
51,171,122,,0.04093567251461988,0.05263157894736842,2024,,,,,,,,,,
52,162,133,,0.030864197530864196,0.018518518518518517,2024,,,,,,,,,,
53,154,82,,0.012987012987012988,0.06493506493506493,2024,,,,,,,,,,
54,24,17,,0.0,0.041666666666666664,2024,,,,,,,,,,
55,73,44,,0.0684931506849315,0.0273972602739726,2024,,,,,,,,,,
56,365,234,,0.038356164383561646,0.021917808219178082,2024,,,,,,,,,,
57,166,111,,0.006024096385542169,0.012048192771084338,2024,,,,,,,,,,
58,313,212,,0.012779552715654952,0.03194888178913738,2024,,,,,,,,,,
59,221,151,,0.004524886877828055,0.01809954751131222,2024,,,,,,,,,,
6,1360,1026,,0.04044117647058824,0.027205882352941177,2024,,,,,,,,,,
60,403,254,,0.02481389578163772,0.01488833746898263,2024,,,,,,,,,,
61,1100,801,,0.01,0.00909090909090909,2024,,,,,,,,,,
62,123,76,,0.0,0.008130081300813009,2024,,,,,,,,,,
63,264,172,,0.003787878787878788,0.022727272727272728,2024,,,,,,,,,,
64,227,138,,0.04405286343612335,0.00881057268722467,2024,,,,,,,,,,
65,336,180,,0.011904761904761904,0.026785714285714284,2024,,,,,,,,,,
66,387,236,,0.0103359173126615,0.04909560723514212,2024,,,,,,,,,,
67,146,106,,0.00684931506849315,0.06164383561643835,2024,,,,,,,,,,
68,133,102,,0.007518796992481203,0.09774436090225563,2024,,,,,,,,,,
69,303,227,,0.0429042904290429,0.07260726072607261,2024,,,,,,,,,,
7,738,517,,0.018970189701897018,0.023035230352303523,2024,,,,,,,,,,
70,315,180,,0.01904761904761905,0.031746031746031744,2024,,,,,,,,,,
71,303,232,,0.0165016501650165,0.07590759075907591,2024,,,,,,,,,,
72,231,124,,0.030303030303030304,0.021645021645021644,2024,,,,,,,,,,
73,157,99,,0.012738853503184714,0.05732484076433121,2024,,,,,,,,,,
74,116,90,,0.04310344827586207,0.034482758620689655,2024,,,,,,,,,,
75,200,108,,0.03,0.03,2024,,,,,,,,,,
76,439,311,,0.011389521640091117,0.022779043280182234,2024,,,,,,,,,,
77,610,305,,0.03278688524590164,0.029508196721311476,2024,,,,,,,,,,
8,2623,1933,,0.0472741136103698,0.024399542508577964,2024,,,,,,,,,,
9,123,102,,0.024390243902439025,0.032520325203252036,2024,,,,,,,,,,
0,1,1,,0.0,0.0,2025,,,,,,,,,,
1,629,145,149.0,0.04133545310015898,0.07472178060413355,2025,,,,,,,,,,
10,451,103,137.0,0.03991130820399113,0.04212860310421286,2025,,,,,,,,,,
11,367,90,148.0,0.035422343324250684,0.04632152588555858,2025,,,,,,,,,,
12,222,52,58.0,0.0045045045045045045,0.04504504504504504,2025,,,,,,,,,,
13,292,99,95.0,0.003424657534246575,0.03767123287671233,2025,,,,,,,,,,
14,802,204,358.0,0.008728179551122194,0.05860349127182045,2025,,,,,,,,,,
15,941,230,437.0,0.021253985122210415,0.053134962805526036,2025,,,,,,,,,,
16,965,296,336.0,0.031088082901554404,0.04248704663212435,2025,,,,,,,,,,
17,520,109,278.0,0.028846153846153848,0.046153846153846156,2025,,,,,,,,,,
18,157,39,35.0,0.01910828025477707,0.03184713375796178,2025,,,,,,,,,,
19,1118,374,287.0,0.01699463327370304,0.03488372093023256,2025,,,,,,,,,,
2,914,332,300.0,0.01312910284463895,0.053610503282275714,2025,,,,,,,,,,
20,362,139,77.0,0.008287292817679558,0.055248618784530384,2025,,,,,,,,,,
21,735,219,172.0,0.034013605442176874,0.05170068027210884,2025,,,,,,,,,,
22,1611,403,685.0,0.037243947858473,0.03972687771570453,2025,,,,,,,,,,
23,825,208,324.0,0.009696969696969697,0.03878787878787879,2025,,,,,,,,,,
24,2442,694,592.0,0.036036036036036036,0.03644553644553645,2025,,,,,,,,,,
25,1107,415,318.0,0.007226738934056007,0.07497741644083107,2025,,,,,,,,,,
26,272,63,70.0,0.011029411764705883,0.09926470588235294,2025,,,,,,,,,,
27,270,94,75.0,0.03333333333333333,0.08888888888888889,2025,,,,,,,,,,
28,2876,888,645.0,0.02573018080667594,0.037204450625869266,2025,,,,,,,,,,
29,363,91,103.0,0.0027548209366391185,0.07162534435261708,2025,,,,,,,,,,
3,981,342,362.0,0.03160040774719674,0.047910295616717634,2025,,,,,,,,,,
30,1018,242,218.0,0.012770137524557957,0.04027504911591356,2025,,,,,,,,,,
31,1118,266,504.0,0.013416815742397137,0.027728085867620753,2025,,,,,,,,,,
32,3669,990,617.0,0.01826110656854729,0.03134369037884982,2025,,,,,,,,,,
33,568,150,133.0,0.03169014084507042,0.03697183098591549,2025,,,,,,,,,,
34,439,112,88.0,0.009111617312072893,0.01366742596810934,2025,,,,,,,,,,
35,192,48,48.0,0.020833333333333332,0.036458333333333336,2025,,,,,,,,,,
36,24,8,11.0,0.0,0.0,2025,,,,,,,,,,
37,83,18,16.0,0.012048192771084338,0.08433734939759036,2025,,,,,,,,,,
38,296,89,66.0,0.010135135135135136,0.057432432432432436,2025,,,,,,,,,,
39,129,52,22.0,0.007751937984496124,0.06201550387596899,2025,,,,,,,,,,
4,799,203,371.0,0.03379224030037547,0.03254067584480601,2025,,,,,,,,,,
40,106,39,32.0,0.04716981132075472,0.10377358490566038,2025,,,,,,,,,,
41,458,130,134.0,0.028384279475982533,0.03275109170305677,2025,,,,,,,,,,
42,270,84,111.0,0.003703703703703704,0.08518518518518518,2025,,,,,,,,,,
43,417,120,106.0,0.009592326139088728,0.07434052757793765,2025,,,,,,,,,,
44,423,108,96.0,0.014184397163120567,0.061465721040189124,2025,,,,,,,,,,
45,146,40,34.0,0.00684931506849315,0.08904109589041095,2025,,,,,,,,,,
46,255,51,63.0,0.00784313725490196,0.054901960784313725,2025,,,,,,,,,,
47,25,7,4.0,0.04,0.04,2025,,,,,,,,,,
48,146,37,31.0,0.0136986301369863,0.04794520547945205,2025,,,,,,,,,,
49,318,85,137.0,0.0031446540880503146,0.1069182389937107,2025,,,,,,,,,,
5,777,208,150.0,0.04247104247104247,0.03088803088803089,2025,,,,,,,,,,
50,103,23,53.0,0.0,0.038834951456310676,2025,,,,,,,,,,
51,216,45,68.0,0.032407407407407406,0.06944444444444445,2025,,,,,,,,,,
52,205,43,49.0,0.024390243902439025,0.024390243902439025,2025,,,,,,,,,,
53,187,33,99.0,0.0213903743315508,0.06417112299465241,2025,,,,,,,,,,
54,33,9,8.0,0.0,0.09090909090909091,2025,,,,,,,,,,
55,86,13,39.0,0.05813953488372093,0.03488372093023256,2025,,,,,,,,,,
56,529,164,93.0,0.02835538752362949,0.05103969754253308,2025,,,,,,,,,,
57,319,153,75.0,0.025078369905956112,0.025078369905956112,2025,,,,,,,,,,
58,589,276,116.0,0.01867572156196944,0.03735144312393888,2025,,,,,,,,,,
59,279,58,72.0,0.007168458781362007,0.035842293906810034,2025,,,,,,,,,,
6,2192,832,425.0,0.045164233576642336,0.03786496350364964,2025,,,,,,,,,,
60,531,128,154.0,0.022598870056497175,0.022598870056497175,2025,,,,,,,,,,
61,1495,395,233.0,0.008026755852842809,0.016053511705685617,2025,,,,,,,,,,
62,225,102,53.0,0.008888888888888889,0.03111111111111111,2025,,,,,,,,,,
63,434,170,107.0,0.009216589861751152,0.027649769585253458,2025,,,,,,,,,,
64,280,53,63.0,0.03571428571428571,0.02857142857142857,2025,,,,,,,,,,
65,419,83,195.0,0.00954653937947494,0.026252983293556086,2025,,,,,,,,,,
66,533,146,209.0,0.0075046904315197,0.06566604127579738,2025,,,,,,,,,,
67,283,137,66.0,0.007067137809187279,0.10247349823321555,2025,,,,,,,,,,
68,208,75,54.0,0.004807692307692308,0.1201923076923077,2025,,,,,,,,,,
69,418,115,111.0,0.03588516746411483,0.09808612440191387,2025,,,,,,,,,,
7,1493,755,267.0,0.03951774949765573,0.0361687876758205,2025,,,,,,,,,,
70,414,99,177.0,0.014492753623188406,0.03140096618357488,2025,,,,,,,,,,
71,419,116,103.0,0.014319809069212411,0.10739856801909307,2025,,,,,,,,,,
72,341,110,134.0,0.03225806451612903,0.0469208211143695,2025,,,,,,,,,,
73,234,77,80.0,0.01282051282051282,0.0811965811965812,2025,,,,,,,,,,
74,176,60,29.0,0.05113636363636364,0.03409090909090909,2025,,,,,,,,,,
75,304,104,117.0,0.03289473684210526,0.04276315789473684,2025,,,,,,,,,,
76,556,117,105.0,0.01079136690647482,0.03776978417266187,2025,,,,,,,,,,
77,894,284,372.0,0.026845637583892617,0.04138702460850112,2025,,,,,,,,,,
8,4144,1521,774.0,0.041023166023166024,0.03209459459459459,2025,,,,,,,,,,
9,153,30,22.0,0.0196078431372549,0.032679738562091505,2025,,,,,,,,,,
