community_area,active_count,new_count,closures_count,nightlife_share,regulated_share,population,active_businesses_per_1k,new_licenses_per_1k,closures_per_1k,Pct_Housing_Crowded,Pct_Below_Poverty,Pct_Unemployed,Pct_Without_HS_Diploma,Per_Capita_Income,Hardship_Index
0,1,1,,0.0,0.0,,,,,,,,,,
1,629,145,149.0,0.04133545310015898,0.07472178060413355,,,,,,,,,,
10,451,103,137.0,0.03991130820399113,0.04212860310421286,,,,,,,,,,
11,367,90,148.0,0.035422343324250684,0.04632152588555858,,,,,,,,,,
12,222,52,58.0,0.0045045045045045045,0.04504504504504504,,,,,,,,,,
13,292,99,95.0,0.003424657534246575,0.03767123287671233,,,,,,,,,,
14,802,204,358.0,0.008728179551122194,0.05860349127182045,,,,,,,,,,
15,941,230,437.0,0.021253985122210415,0.053134962805526036,,,,,,,,,,
16,965,296,336.0,0.031088082901554404,0.04248704663212435,,,,,,,,,,
17,520,109,278.0,0.028846153846153848,0.046153846153846156,,,,,,,,,,
18,157,39,35.0,0.01910828025477707,0.03184713375796178,,,,,,,,,,
19,1118,374,287.0,0.01699463327370304,0.03488372093023256,,,,,,,,,,
2,914,332,300.0,0.01312910284463895,0.053610503282275714,,,,,,,,,,
20,362,139,77.0,0.008287292817679558,0.055248618784530384,,,,,,,,,,
21,735,219,172.0,0.034013605442176874,0.05170068027210884,,,,,,,,,,
22,1611,403,685.0,0.037243947858473,0.03972687771570453,,,,,,,,,,
23,825,208,324.0,0.009696969696969697,0.03878787878787879,,,,,,,,,,
24,2442,694,592.0,0.036036036036036036,0.03644553644553645,,,,,,,,,,
25,1107,415,318.0,0.007226738934056007,0.07497741644083107,,,,,,,,,,
26,272,63,70.0,0.011029411764705883,0.09926470588235294,,,,,,,,,,
27,270,94,75.0,0.03333333333333333,0.08888888888888889,,,,,,,,,,
28,2876,888,645.0,0.02573018080667594,0.037204450625869266,,,,,,,,,,
29,363,91,103.0,0.0027548209366391185,0.07162534435261708,,,,,,,,,,
3,981,342,362.0,0.03160040774719674,0.047910295616717634,,,,,,,,,,
30,1018,242,218.0,0.012770137524557957,0.04027504911591356,,,,,,,,,,
31,1118,266,504.0,0.013416815742397137,0.027728085867620753,,,,,,,,,,
32,3669,990,617.0,0.01826110656854729,0.03134369037884982,,,,,,,,,,
33,568,150,133.0,0.03169014084507042,0.03697183098591549,,,,,,,,,,
34,439,112,88.0,0.009111617312072893,0.01366742596810934,,,,,,,,,,
35,192,48,48.0,0.020833333333333332,0.036458333333333336,,,,,,,,,,
36,24,8,11.0,0.0,0.0,,,,,,,,,,
37,83,18,16.0,0.012048192771084338,0.08433734939759036,,,,,,,,,,
38,296,89,66.0,0.010135135135135136,0.057432432432432436,,,,,,,,,,
39,129,52,22.0,0.007751937984496124,0.06201550387596899,,,,,,,,,,
4,799,203,371.0,0.03379224030037547,0.03254067584480601,,,,,,,,,,
40,106,39,32.0,0.04716981132075472,0.10377358490566038,,,,,,,,,,
41,458,130,134.0,0.028384279475982533,0.03275109170305677,,,,,,,,,,
42,270,84,111.0,0.003703703703703704,0.08518518518518518,,,,,,,,,,
43,417,120,106.0,0.009592326139088728,0.07434052757793765,,,,,,,,,,
44,423,108,96.0,0.014184397163120567,0.061465721040189124,,,,,,,,,,
45,146,40,34.0,0.00684931506849315,0.08904109589041095,,,,,,,,,,
46,255,51,63.0,0.00784313725490196,0.054901960784313725,,,,,,,,,,
47,25,7,4.0,0.04,0.04,,,,,,,,,,
48,146,37,31.0,0.0136986301369863,0.04794520547945205,,,,,,,,,,
49,318,85,137.0,0.0031446540880503146,0.1069182389937107,,,,,,,,,,
5,777,208,150.0,0.04247104247104247,0.03088803088803089,,,,,,,,,,
50,103,23,53.0,0.0,0.038834951456310676,,,,,,,,,,
51,216,45,68.0,0.032407407407407406,0.06944444444444445,,,,,,,,,,
52,205,43,49.0,0.024390243902439025,0.024390243902439025,,,,,,,,,,
53,187,33,99.0,0.0213903743315508,0.06417112299465241,,,,,,,,,,
54,33,9,8.0,0.0,0.09090909090909091,,,,,,,,,,
55,86,13,39.0,0.05813953488372093,0.03488372093023256,,,,,,,,,,
56,529,164,93.0,0.02835538752362949,0.05103969754253308,,,,,,,,,,
57,319,153,75.0,0.025078369905956112,0.025078369905956112,,,,,,,,,,
58,589,276,116.0,0.01867572156196944,0.03735144312393888,,,,,,,,,,
59,279,58,72.0,0.007168458781362007,0.035842293906810034,,,,,,,,,,
6,2192,832,425.0,0.045164233576642336,0.03786496350364964,,,,,,,,,,
60,531,128,154.0,0.022598870056497175,0.022598870056497175,,,,,,,,,,
61,1495,395,233.0,0.008026755852842809,0.016053511705685617,,,,,,,,,,
62,225,102,53.0,0.008888888888888889,0.03111111111111111,,,,,,,,,,
63,434,170,107.0,0.009216589861751152,0.027649769585253458,,,,,,,,,,
64,280,53,63.0,0.03571428571428571,0.02857142857142857,,,,,,,,,,
65,419,83,195.0,0.00954653937947494,0.026252983293556086,,,,,,,,,,
66,533,146,209.0,0.0075046904315197,0.06566604127579738,,,,,,,,,,
67,283,137,66.0,0.007067137809187279,0.10247349823321555,,,,,,,,,,
68,208,75,54.0,0.004807692307692308,0.1201923076923077,,,,,,,,,,
69,418,115,111.0,0.03588516746411483,0.09808612440191387,,,,,,,,,,
7,1493,755,267.0,0.03951774949765573,0.0361687876758205,,,,,,,,,,
70,414,99,177.0,0.014492753623188406,0.03140096618357488,,,,,,,,,,
71,419,116,103.0,0.014319809069212411,0.10739856801909307,,,,,,,,,,
72,341,110,134.0,0.03225806451612903,0.0469208211143695,,,,,,,,,,
73,234,77,80.0,0.01282051282051282,0.0811965811965812,,,,,,,,,,
74,176,60,29.0,0.05113636363636364,0.03409090909090909,,,,,,,,,,
75,304,104,117.0,0.03289473684210526,0.04276315789473684,,,,,,,,,,
76,556,117,105.0,0.01079136690647482,0.03776978417266187,,,,,,,,,,
77,894,284,372.0,0.026845637583892617,0.04138702460850112,,,,,,,,,,
8,4144,1521,774.0,0.041023166023166024,0.03209459459459459,,,,,,,,,,
9,153,30,22.0,0.0196078431372549,0.032679738562091505,,,,,,,,,,
